paragraph	chapter	sentences
620	XII	Quelques minutes plus tard, il revint, disant:
621	XII	«Une procession de brahmanes qui se dirige de ce côté.
621	XII	S'il est possible, évitons d'être vus.»
622	XII	Le guide détacha l'éléphant et le conduisit dans un fourré, en recommandant aux voyageurs de ne point mettre pied à terre.
622	XII	Lui-même se tint prêt à enfourcher rapidement sa monture, si la fuite devenait nécessaire.
622	XII	Mais il pensa que la troupe des fidèles passerait sans l'apercevoir, car l'épaisseur du feuillage le dissimulait entièrement.
623	XII	Le bruit discordant des voix et des instruments se rapprochait.
623	XII	Des chants monotones se mêlaient au son des tambours et des cymbales.
623	XII	Bientôt la tête de la procession apparut sous les arbres, à une cinquantaine de pas du poste occupé par Mr.
623	XII	Fogg et ses compagnons.
623	XII	Ils distinguaient aisément à travers les branches le curieux personnel de cette cérémonie religieuse.
624	XII	En première ligne s'avançaient des prêtres, coiffés de mitres et vêtus de longues robes chamarrées.
624	XII	Ils étaient entourés d'hommes, de femmes, d'enfants, qui faisaient entendre une sorte de psalmodie funèbre, interrompue à intervalles égaux par des coups de tam-tams et de cymbales.
624	XII	Derrière eux, sur un char aux larges roues dont les rayons et la jante figuraient un entrelacement de serpents, apparut une statue hideuse, traînée par deux couples de zébus richement caparaçonnés.
624	XII	Cette statue avait quatre bras; le corps colorié d'un rouge sombre, les yeux hagards, les cheveux emmêlés, la langue pendante, les lèvres teintes de henné et de bétel.
624	XII	À son cou s'enroulait un collier de têtes de mort, à ses flancs une ceinture de mains coupées.
624	XII	Elle se tenait debout sur un géant terrassé auquel le chef manquait.
625	XII	Sir Francis Cromarty reconnut cette statue.
626	XII	«La déesse Kâli, murmura-t-il, la déesse de l'amour et de la mort.
627	XII	--De la mort, j'y consens, mais de l'amour, jamais!
627	XII	dit Passepartout.
627	XII	La vilaine bonne femme!»
628	XII	Le Parsi lui fit signe de se taire.
629	XII	Autour de la statue s'agitait, se démenait, se convulsionnait un groupe de vieux fakirs, zébrés de bandes d'ocre, couverts d'incisions cruciales qui laissaient échapper leur sang goutte à goutte, énergumènes stupides qui, dans les grandes cérémonies indoues, se précipitent encore sous les roues du char de Jaggernaut.
630	XII	Derrière eux, quelques brahmanes, dans toute la somptuosité de leur costume oriental, traînaient une femme qui se soutenait à peine.
631	XII	Cette femme était jeune, blanche comme une Européenne.
631	XII	Sa tête, son cou, ses épaules, ses oreilles, ses bras, ses mains, ses orteils étaient surchargés de bijoux, colliers, bracelets, boucles et bagues.
631	XII	Une tunique lamée d'or, recouverte d'une mousseline légère, dessinait les contours de sa taille.
632	XII	Derrière cette jeune femme--contraste violent pour les yeux--, des gardes armés de sabres nus passés à leur ceinture et de longs pistolets damasquinés, portaient un cadavre sur un palanquin.
633	XII	C'était le corps d'un vieillard, revêtu de ses opulents habits de rajah, ayant, comme en sa vie, le turban brodé de perles, la robe tissue de soie et d'or, la ceinture de cachemire diamanté, et ses magnifiques armes de prince indien.
634	XII	Puis des musiciens et une arrière-garde de fanatiques, dont les cris couvraient parfois l'assourdissant fracas des instruments, fermaient le cortège.
635	XII	Sir Francis Cromarty regardait toute cette pompe d'un air singulièrement attristé, et se tournant vers le guide:
636	XII	«Un sutty!»
636	XII	dit-il.
637	XII	Le Parsi fit un signe affirmatif et mit un doigt sur ses lèvres.
637	XII	La longue procession se déroula lentement sous les arbres, et bientôt ses derniers rangs disparurent dans la profondeur de la forêt.
638	XII	Peu à peu, les chants s'éteignirent.
638	XII	Il y eut encore quelques éclats de cris lointains, et enfin à tout ce tumulte succéda un profond silence.
639	XII	Phileas Fogg avait entendu ce mot, prononcé par Sir Francis Cromarty, et aussitôt que la procession eut disparu:
640	XII	«Qu'est-ce qu'un sutty?
640	XII	demanda-t-il.
641	XII	--Un sutty, monsieur Fogg, répondit le brigadier général, c'est un sacrifice humain, mais un sacrifice volontaire.
641	XII	Cette femme que vous venez de voir sera brûlée demain aux premières heures du jour.
642	XII	--Ah!
642	XII	les gueux!
642	XII	s'écria Passepartout, qui ne put retenir ce cri d'indignation.
643	XII	--Et ce cadavre?
643	XII	demanda Mr.
643	XII	Fogg.
644	XII	--C'est celui du prince, son mari, répondit le guide, un rajah indépendant du Bundelkund.
645	XII	--Comment!
645	XII	reprit Phileas Fogg, sans que sa voix trahît la moindre émotion, ces barbares coutumes subsistent encore dans l'Inde, et les Anglais n'ont pu les détruire?
646	XII	--Dans la plus grande partie de l'Inde, répondit Sir Francis Cromarty, ces sacrifices ne s'accomplissent plus, mais nous n'avons aucune influence sur ces contrées sauvages, et principalement sur ce territoire du Bundelkund.
646	XII	Tout le revers septentrional des Vindhias est le théâtre de meurtres et de pillages incessants.
647	XII	--La malheureuse!
647	XII	murmurait Passepartout, brûlée vive!
648	XII	--Oui, reprit le brigadier général, brûlée, et si elle ne l'était pas, vous ne sauriez croire à quelle misérable condition elle se verrait réduite par ses proches.
648	XII	On lui raserait les cheveux, on la nourrirait à peine de quelques poignées de riz, on la repousserait, elle serait considérée comme une créature immonde et mourrait dans quelque coin comme un chien galeux.
648	XII	Aussi la perspective de cette affreuse existence pousse-t-elle souvent ces malheureuses au supplice, bien plus que l'amour ou le fanatisme religieux.
648	XII	Quelquefois, cependant, le sacrifice est réellement volontaire, et il faut l'intervention énergique du gouvernement pour l'empêcher.
648	XII	Ainsi, il y a quelques années, je résidais à Bombay, quand une jeune veuve vint demander au gouverneur l'autorisation de se brûler avec le corps de son mari.
648	XII	Comme vous le pensez bien, le gouverneur refusa.
648	XII	Alors la veuve quitta la ville, se réfugia chez un rajah indépendant, et là elle consomma son sacrifice.»
649	XII	Pendant le récit du brigadier général, le guide secouait la tête, et, quand le récit fut achevé:
650	XII	«Le sacrifice qui aura lieu demain au lever du jour n'est pas volontaire, dit-il.
651	XII	--Comment le savez-vous?
652	XII	--C'est une histoire que tout le monde connaît dans le Bundelkund, répondit le guide.
653	XII	--Cependant cette infortunée ne paraissait faire aucune résistance, fit observer Sir Francis Cromarty.
654	XII	--Cela tient à ce qu'on l'a enivrée de la fumée du chanvre et de l'opium.
655	XII	--Mais où la conduit-on?
656	XII	--À la pagode de Pillaji, à deux milles d'ici.
656	XII	Là, elle passera la nuit en attendant l'heure du sacrifice.
657	XII	--Et ce sacrifice aura lieu?...
658	XII	--Demain, dès la première apparition du jour.»
659	XII	Après cette réponse, le guide fit sortir l'éléphant de l'épais fourré et se hissa sur le cou de l'animal.
659	XII	Mais au moment où il allait l'exciter par un sifflement particulier, Mr.
659	XII	Fogg l'arrêta, et, s'adressant à Sir Francis Cromarty:
660	XII	«Si nous sauvions cette femme?
660	XII	dit-il.
661	XII	--Sauver cette femme, monsieur Fogg!... s'écria le brigadier général.
662	XII	--J'ai encore douze heures d'avance.
662	XII	Je puis les consacrer à cela.
663	XII	--Tiens!
663	XII	Mais vous êtes un homme de coeur!
663	XII	dit Sir Francis Cromarty.
664	XII	--Quelquefois, répondit simplement Phileas Fogg, quand j'ai le temps.»
665	XIII	XIII
666	XIII	DANS LEQUEL PASSEPARTOUT PROUVE UNE FOIS DE PLUS QUE LA FORTUNE SOURIT AUX AUDACIEUX
667	XIII	Le dessein était hardi, hérissé de difficultés, impraticable peut-être Mr.
667	XIII	Fogg allait risquer sa vie, ou tout au moins sa liberté, et par conséquent la réussite de ses projets, mais il n'hésita pas.
667	XIII	Il trouva, d'ailleurs, dans Sir Francis Cromarty, un auxiliaire décidé.
668	XIII	Quant à Passepartout, il était prêt, on pouvait disposer de lui.
668	XIII	L'idée de son maître l'exaltait.
668	XIII	Il sentait un coeur, une âme sous cette enveloppe de glace.
668	XIII	Il se prenait à aimer Phileas Fogg.
669	XIII	Restait le guide.
669	XIII	Quel parti prendrait-il dans l'affaire?
669	XIII	Ne serait-il pas porté pour les hindous?
669	XIII	À défaut de son concours, il fallait au moins s'assurer sa neutralité.
670	XIII	Sir Francis Cromarty lui posa franchement la question.
671	XIII	«Mon officier, répondit le guide, je suis Parsi, et cette femme est Parsie.
671	XIII	Disposez de moi.
672	XIII	--Bien, guide, répondit Mr.
672	XIII	Fogg.
673	XIII	--Toutefois, sachez-le bien, reprit le Parsi, non seulement nous risquons notre vie, mais des supplices horribles, si nous sommes pris.
673	XIII	Ainsi, voyez.
674	XIII	--C'est vu, répondit Mr.
674	XIII	Fogg.
674	XIII	Je pense que nous devrons attendre la nuit pour agir?
675	XIII	--Je le pense aussi», répondit le guide.
676	XIII	Ce brave Indou donna alors quelques détails sur la victime.
676	XIII	C'était une Indienne d'une beauté célèbre, de race parsie, fille de riches négociants de Bombay.
676	XIII	Elle avait reçu dans cette ville une éducation absolument anglaise, et à ses manières, à son instruction, on l'eût crue Européenne.
676	XIII	Elle se nommait Aouda.
677	XIII	Orpheline, elle fut mariée malgré elle à ce vieux rajah du Bundelkund.
677	XIII	Trois mois après, elle devint veuve.
677	XIII	Sachant le sort qui l'attendait, elle s'échappa, fut reprise aussitôt, et les parents du rajah, qui avaient intérêt à sa mort, la vouèrent à ce supplice auquel il ne semblait pas qu'elle pût échapper.
678	XIII	Ce récit ne pouvait qu'enraciner Mr.
678	XIII	Fogg et ses compagnons dans leur généreuse résolution.
678	XIII	Il fut décidé que le guide dirigerait l'éléphant vers la pagode de Pillaji, dont il se rapprocherait autant que possible.
679	XIII	Une demi-heure après, halte fut faite sous un taillis, à cinq cents pas de la pagode, que l'on ne pouvait apercevoir; mais les hurlements des fanatiques se laissaient entendre distinctement.
680	XIII	Les moyens de parvenir jusqu'à la victime furent alors discutés.
680	XIII	Le guide connaissait cette pagode de Pillaji, dans laquelle il affirmait que la jeune femme était emprisonnée.
680	XIII	Pourrait-on y pénétrer par une des portes, quand toute la bande serait plongée dans le sommeil de l'ivresse, ou faudrait-il pratiquer un trou dans une muraille?
680	XIII	C'est ce qui ne pourrait être décidé qu'au moment et au lieu mêmes.
680	XIII	Mais ce qui ne fit aucun doute, c'est que l'enlèvement devait s'opérer cette nuit même, et non quand, le jour venu, la victime serait conduite au supplice.
680	XIII	À cet instant, aucune intervention humaine n'eût pu la sauver.
681	XIII	Mr.
681	XIII	Fogg et ses compagnons attendirent la nuit.
681	XIII	Dès que l'ombre se fit, vers six heures du soir, ils résolurent d'opérer une reconnaissance autour de la pagode.
681	XIII	Les derniers cris des fakirs s'éteignaient alors.
681	XIII	Suivant leur habitude, ces Indiens devaient être plongés dans l'épaisse ivresse du «hang»--opium liquide, mélangé d'une infusion de chanvre--, et il serait peut-être possible de se glisser entre eux jusqu'au temple.
682	XIII	Le Parsi, guidant Mr.
682	XIII	Fogg, Sir Francis Cromarty et Passepartout, s'avança sans bruit à travers la forêt.
682	XIII	Après dix minutes de reptation sous les ramures, ils arrivèrent au bord d'une petite rivière, et là, à la lueur de torches de fer à la pointe desquelles brûlaient des résines, ils aperçurent un monceau de bois empilé.
682	XIII	C'était le bûcher, fait de précieux santal, et déjà imprégné d'une huile parfumée.
682	XIII	À sa partie supérieure reposait le corps embaumé du rajah, qui devait être brûlé en même temps que sa veuve.
682	XIII	À cent pas de ce bûcher s'élevait la pagode, dont les minarets perçaient dans l'ombre la cime des arbres.
683	XIII	«Venez!»
683	XIII	dit le guide à voix basse.
684	XIII	Et, redoublant de précaution, suivi de ses compagnons, il se glissa silencieusement à travers les grandes herbes.
685	XIII	Le silence n'était plus interrompu que par le murmure du vent dans les branches.
686	XIII	Bientôt le guide s'arrêta à l'extrémité d'une clairière.
686	XIII	Quelques résines éclairaient la place.
686	XIII	Le sol était jonché de groupes de dormeurs, appesantis par l'ivresse.
686	XIII	On eût dit un champ de bataille couvert de morts.
686	XIII	Hommes, femmes, enfants, tout était confondu.
686	XIII	Quelques ivrognes râlaient encore çà et là.
687	XIII	À l'arrière-plan, entre la masse des arbres, le temple de Pillaji se dressait confusément.
687	XIII	Mais au grand désappointement du guide, les gardes des rajahs, éclairés par des torches fuligineuses, veillaient aux portes et se promenaient, le sabre nu.
687	XIII	On pouvait supposer qu'à l'intérieur les prêtres veillaient aussi.
688	XIII	Le Parsi ne s'avança pas plus loin.
688	XIII	Il avait reconnu l'impossibilité de forcer l'entrée du temple, et il ramena ses compagnons en arrière.
689	XIII	Phileas Fogg et Sir Francis Cromarty avaient compris comme lui qu'ils ne pouvaient rien tenter de ce côté.
690	XIII	Ils s'arrêtèrent et s'entretinrent à voix basse.
691	XIII	«Attendons, dit le brigadier général, il n'est que huit heures encore, et il est possible que ces gardes succombent aussi au sommeil.
692	XIII	--Cela est possible, en effet», répondit le Parsi.
693	XIII	Phileas Fogg et ses compagnons s'étendirent donc au pied d'un arbre et attendirent.
694	XIII	Le temps leur parut long!
694	XIII	Le guide les quittait parfois et allait observer la lisière du bois.
694	XIII	Les gardes du rajah veillaient toujours à la lueur des torches, et une vague lumière filtrait à travers les fenêtres de la pagode.
695	XIII	On attendit ainsi jusqu'à minuit.
695	XIII	La situation ne changea pas.
695	XIII	Même surveillance au-dehors.
695	XIII	Il était évident qu'on ne pouvait compter sur l'assoupissement des gardes.
695	XIII	L'ivresse du «hang» leur avait été probablement épargnée.
695	XIII	Il fallait donc agir autrement et pénétrer par une ouverture pratiquée aux murailles de la pagode.
695	XIII	Restait la question de savoir si les prêtres veillaient auprès de leur victime avec autant de soin que les soldats à la porte du temple.
696	XIII	Après une dernière conversation, le guide se dit prêt à partir.
696	XIII	Mr.
696	XIII	Fogg, Sir Francis et Passepartout le suivirent.
696	XIII	Ils firent un détour assez long, afin d'atteindre la pagode par son chevet.
697	XIII	Vers minuit et demi, ils arrivèrent au pied des murs sans avoir rencontré personne.
697	XIII	Aucune surveillance n'avait été établie de ce côté, mais il est vrai de dire que fenêtres et portes manquaient absolument.
698	XIII	Là nuit était sombre.
698	XIII	La lune, alors dans son dernier quartier, quittait à peine l'horizon, encombré de gros nuages.
698	XIII	La hauteur des arbres accroissait encore l'obscurité.
699	XIII	Mais il ne suffisait pas d'avoir atteint le pied des murailles, il fallait encore y pratiquer une ouverture.
699	XIII	Pour cette opération, Phileas Fogg et ses compagnons n'avaient absolument que leurs couteaux de poche.
699	XIII	Très heureusement, les parois du temple se composaient d'un mélange de briques et de bois qui ne pouvait être difficile à percer.
699	XIII	La première brique une fois enlevée, les autres viendraient facilement.
700	XIII	On se mit à la besogne, en faisant le moins de bruit possible.
700	XIII	Le Parsi d'un côté, Passepartout, de l'autre, travaillaient à desceller les briques, de manière à obtenir une ouverture large de deux pieds.
701	XIII	Le travail avançait, quand un cri se fit entendre à l'intérieur du temple, et presque aussitôt d'autres cris lui répondirent du dehors.
702	XIII	Passepartout et le guide interrompirent leur travail.
702	XIII	Les avait-on surpris?
702	XIII	L'éveil était-il donné?
702	XIII	La plus vulgaire prudence leur commandait de s'éloigner,--ce qu'ils firent en même temps que Phileas Fogg et sir Francis Cromarty.
702	XIII	Ils se blottirent de nouveau sous le couvert du bois, attendant que l'alerte, si c'en était une, se fût dissipée, et prêts, dans ce cas, à reprendre leur opération.
703	XIII	Mais--contretemps funeste--des gardes se montrèrent au chevet de la pagode, et s'y installèrent de manière à empêcher toute approche.
704	XIII	Il serait difficile de décrire le désappointement de ces quatre hommes, arrêtés dans leur oeuvre.
704	XIII	Maintenant qu'ils ne pouvaient plus parvenir jusqu'à la victime, comment la sauveraient-ils?
704	XIII	Sir Francis Cromarty se rongeait les poings.
704	XIII	Passepartout était hors de lui, et le guide avait quelque peine à le contenir.
704	XIII	L'impassible Fogg attendait sans manifester ses sentiments.
705	XIII	«N'avons-nous plus qu'à partir?
705	XIII	demanda le brigadier général à voix basse.
706	XIII	--Nous n'avons plus qu'à partir, répondit le guide.
707	XIII	--Attendez, dit Fogg.
707	XIII	Il suffit que je sois demain à Allahabad avant midi.
708	XIII	--Mais qu'espérez-vous?
708	XIII	répondit Sir Francis Cromarty.
708	XIII	Dans quelques heures le jour va paraître, et...
709	XIII	--La chance qui nous échappe peut se représenter au moment suprême.»
710	XIII	Le brigadier général aurait voulu pouvoir lire dans les yeux de Phileas Fogg.
711	XIII	Sur quoi comptait donc ce froid Anglais?
711	XIII	Voulait-il, au moment du supplice, se précipiter vers la jeune femme et l'arracher ouvertement à ses bourreaux?
712	XIII	C'eût été une folie, et comment admettre que cet homme fût fou à ce point?
712	XIII	Néanmoins, Sir Francis Cromarty consentit à attendre jusqu'au dénouement de cette terrible scène.
712	XIII	Toutefois, le guide ne laissa pas ses compagnons à l'endroit où ils s'étaient réfugiés, et il les ramena vers la partie antérieure de la clairière.
712	XIII	Là, abrités par un bouquet d'arbres, ils pouvaient observer les groupes endormis.
713	XIII	Cependant Passepartout, juché sur les premières branches d'un arbre, ruminait une idée qui avait d'abord traversé son esprit comme un éclair, et qui finit par s'incruster dans son cerveau.
714	XIII	Il avait commencé par se dire: «Quelle folie!»
714	XIII	et maintenant il répétait: «Pourquoi pas, après tout?
714	XIII	C'est une chance, peut-être la seule, et avec de tels abrutis!...»
715	XIII	En tout cas, Passepartout ne formula pas autrement sa pensée, mais il ne tarda pas à se glisser avec la souplesse d'un serpent sur les basses branches de l'arbre dont l'extrémité se courbait vers le sol.
716	XIII	Les heures s'écoulaient, et bientôt quelques nuances moins sombres annoncèrent l'approche du jour.
716	XIII	Cependant l'obscurité était profonde encore.
717	XIII	C'était le moment.
717	XIII	Il se fit comme une résurrection dans cette foule assoupie.
717	XIII	Les groupes s'animèrent.
717	XIII	Des coups de tam-tam retentirent.
717	XIII	Chants et cris éclatèrent de nouveau.
717	XIII	L'heure était venue à laquelle l'infortunée allait mourir.
718	XIII	En effet, les portes de la pagode s'ouvrirent.
718	XIII	Une lumière plus vive s'échappa de l'intérieur.
718	XIII	Mr.
718	XIII	Fogg et Sir Francis Cromarty purent apercevoir la victime, vivement éclairée, que deux prêtres traînaient au-dehors.
718	XIII	Il leur sembla même que, secouant l'engourdissement de l'ivresse par un suprême instinct de conservation, la malheureuse tentait d'échapper à ses bourreaux.
718	XIII	Le coeur de Sir Francis Cromarty bondit, et par un mouvement convulsif, saisissant la main de Phileas Fogg, il sentit que cette main tenait un couteau ouvert.
719	XIII	En ce moment, la foule s'ébranla.
719	XIII	La jeune femme était retombée dans cette torpeur provoquée par les fumées du chanvre.
719	XIII	Elle passa à travers les fakirs, qui l'escortaient de leurs vociférations religieuses.
720	XIII	Phileas Fogg et ses compagnons, se mêlant aux derniers rangs de la foule, la suivirent.
721	XIII	Deux minutes après, ils arrivaient sur le bord de la rivière et s'arrêtaient à moins de cinquante pas du bûcher, sur lequel était couché le corps du rajah.
721	XIII	Dans la demi-obscurité, ils virent la victime absolument inerte, étendue auprès du cadavre de son époux.
722	XIII	Puis une torche fut approchée et le bois imprégné d'huile, s'enflamma aussitôt.
723	XIII	À ce moment, Sir Francis Cromarty et le guide retinrent Phileas Fogg, qui dans un moment de folie généreuse, s'élançait vers le bûcher...
724	XIII	Mais Phileas Fogg les avait déjà repoussés, quand la scène changea soudain.
724	XIII	Un cri de terreur s'éleva.
724	XIII	Toute cette foule se précipita à terre, épouvantée.
725	XIII	Le vieux rajah n'était donc pas mort, qu'on le vît se redresser tout à coup, comme un fantôme, soulever la jeune femme dans ses bras, descendre du bûcher au milieu des tourbillons de vapeurs qui lui donnaient une apparence spectrale?
726	XIII	Les fakirs, les gardes, les prêtres, pris d'une terreur subite, étaient là, face à terre, n'osant lever les yeux et regarder un tel prodige!
727	XIII	La victime inanimée passa entre les bras vigoureux qui la portaient, et sans qu'elle parût leur peser.
727	XIII	Mr.
727	XIII	Fogg et Sir Francis Cromarty étaient demeurés debout.
727	XIII	Le Parsi avait courbé la tête, et Passepartout, sans doute, n'était pas moins stupéfié!...
728	XIII	Ce ressuscité arriva ainsi près de l'endroit où se tenaient Mr.
728	XIII	Fogg et Sir Francis Cromarty, et là, d'une voix brève:
729	XIII	«Filons!...» dit-il.
730	XIII	C'était Passepartout lui-même qui s'était glissé vers le bûcher au milieu de la fumée épaisse!
730	XIII	C'était Passepartout qui, profitant de l'obscurité profonde encore, avait arraché la jeune femme à la mort!
730	XIII	C'était Passepartout qui, jouant son rôle avec un audacieux bonheur, passait au milieu de l'épouvante générale!
731	XIII	Un instant après, tous quatre disparaissaient dans le bois, et l'éléphant les emportait d'un trot rapide.
731	XIII	Mais des cris, des clameurs et même une balle, perçant le chapeau de Phileas Fogg, leur apprirent que la ruse était découverte.
732	XIII	En effet, sur le bûcher enflammé se détachait alors le corps du vieux rajah.
732	XIII	Les prêtres, revenus de leur frayeur, avaient compris qu'un enlèvement venait de s'accomplir.
733	XIII	Aussitôt ils s'étaient précipités dans la forêt.
733	XIII	Les gardes les avaient suivis.
733	XIII	Une décharge avait eu lieu, mais les ravisseurs fuyaient rapidement, et, en quelques instants, ils se trouvaient hors de la portée des balles et des flèches.
734	XIV	XIV
735	XIV	DANS LEQUEL PHILEAS FOGG DESCEND TOUTE L'ADMIRABLE VALLÉE DU GANGE SANS MÊME SONGER À LA VOIR
736	XIV	Le hardi enlèvement avait réussi.
736	XIV	Une heure après, Passepartout riait encore de son succès.
736	XIV	Sir Francis Cromarty avait serré la main de l'intrépide garçon.
736	XIV	Son maître lui avait dit: «Bien», ce qui, dans la bouche de ce gentleman, équivalait à une haute approbation.
736	XIV	À quoi Passepartout avait répondu que tout l'honneur de l'affaire appartenait à son maître.
736	XIV	Pour lui, il n'avait eu qu'une idée «drôle», et il riait en songeant que, pendant quelques instants, lui, Passepartout, ancien gymnaste, ex-sergent de pompiers, avait été le veuf d'une charmante femme, un vieux rajah embaumé!
737	XIV	Quant à la jeune Indienne, elle n'avait pas eu conscience de ce qui s'était passé.
737	XIV	Enveloppée dans les couvertures de voyage, elle reposait sur l'un des cacolets.
738	XIV	Cependant l'éléphant, guidé avec une extrême sûreté par le Parsi, courait rapidement dans la forêt encore obscure.
738	XIV	Une heure après avoir quitté la pagode de Pillaji, il se lançait à travers une immense plaine.
738	XIV	À sept heures, on fit halte.
738	XIV	La jeune femme était toujours dans une prostration complète.
738	XIV	Le guide lui fit boire quelques gorgées d'eau et de brandy, mais cette influence stupéfiante qui l'accablait devait se prolonger quelque temps encore.
739	XIV	Sir Francis Cromarty, qui connaissait les effets de l'ivresse produite par l'inhalation des vapeurs du chanvre, n'avait aucune inquiétude sur son compte.
740	XIV	Mais si le rétablissement de la jeune Indienne ne fit pas question dans l'esprit du brigadier général, celui-ci se montrait moins rassuré pour l'avenir.
740	XIV	Il n'hésita pas à dire à Phileas Fogg que si Mrs.
740	XIV	Aouda restait dans l'Inde, elle retomberait inévitablement entre les mains de ses bourreaux.
740	XIV	Ces énergumènes se tenaient dans toute la péninsule, et certainement, malgré la police anglaise, ils sauraient reprendre leur victime, fût-ce à Madras, à Bombay, à Calcutta.
740	XIV	Et Sir Francis Cromarty citait, à l'appui de ce dire, un fait de même nature qui s'était passé récemment.
740	XIV	À son avis, la jeune femme ne serait véritablement en sûreté qu'après avoir quitté l'Inde.
741	XIV	Phileas Fogg répondit qu'il tiendrait compte de ces observations et qu'il aviserait.
742	XIV	Vers dix heures, le guide annonçait la station d'Allahabad.
742	XIV	Là reprenait la voie interrompue du chemin de fer, dont les trains franchissent, en moins d'un jour et d'une nuit, la distance qui sépare Allahabad de Calcutta.
743	XIV	Phileas Fogg devait donc arriver à temps pour prendre un paquebot qui ne partait que le lendemain seulement, 25 octobre, à midi, pour Hong-Kong.
744	XIV	La jeune femme fut déposée dans une chambre de la gare.
744	XIV	Passepartout fut chargé d'aller acheter pour elle divers objets de toilette, robe, châle, fourrures, etc., ce qu'il trouverait.
744	XIV	Son maître lui ouvrait un crédit illimité.
745	XIV	Passepartout partit aussitôt et courut les rues de la ville.
745	XIV	Allahabad, c'est la cité de Dieu, l'une des plus vénérées de l'Inde, en raison de ce qu'elle est bâtie au confluent de deux fleuves sacrés, le Gange et la Jumna, dont les eaux attirent les pèlerins de toute la péninsule.
745	XIV	On sait d'ailleurs que, suivant les légendes du Ramayana, le Gange prend sa source dans le ciel, d'où, grâce à Brahma, il descend sur la terre.
746	XIV	Tout en faisant ses emplettes, Passepartout eut bientôt vu la ville, autrefois défendue par un fort magnifique qui est devenu une prison d'État.
746	XIV	Plus de commerce, plus d'industrie dans cette cité, jadis industrielle et commerçante.
746	XIV	Passepartout, qui cherchait vainement un magasin de nouveautés, comme s'il eût été dans Regent-street à quelques pas de Farmer et Co., ne trouva que chez un revendeur, vieux juif difficultueux, les objets dont il avait besoin, une robe en étoffe écossaise, un vaste manteau, et une magnifique pelisse en peau de loutre qu'il n'hésita pas à payer soixante-quinze livres (1 875 F).
746	XIV	Puis, tout triomphant, il retourna à la gare.
747	XIV	Mrs.
747	XIV	Aouda commençait à revenir à elle.
747	XIV	Cette influence à laquelle les prêtres de Pillaji l'avaient soumise se dissipait peu à peu, et ses beaux yeux reprenaient toute leur douceur indienne.
748	XIV	Lorsque le roi-poète, Uçaf Uddaul, célèbre les charmes de la reine d'Ahméhnagara, il s'exprime ainsi:
749	XIV	«Sa luisante chevelure, régulièrement divisée en deux parts, encadre les contours harmonieux de ses joues délicates et blanches, brillantes de poli et de fraîcheur.
749	XIV	Ses sourcils d'ébène ont la forme et la puissance de l'arc de Kama, dieu d'amour, et sous ses longs cils soyeux, dans la pupille noire de ses grands yeux limpides, nagent comme dans les lacs sacrés de l'Himalaya les reflets les plus purs de la lumière céleste.
749	XIV	Fines, égales et blanches, ses dents resplendissent entre ses lèvres souriantes, comme des gouttes de rosée dans le sein mi-clos d'une fleur de grenadier.
749	XIV	Ses oreilles mignonnes aux courbes symétriques, ses mains vermeilles, ses petits pieds bombés et tendres comme les bourgeons du lotus, brillent de l'éclat des plus belles perles de Ceylan, des plus beaux diamants de Golconde.
749	XIV	Sa mince et souple ceinture, qu'une main suffit à enserrer, rehausse l'élégante cambrure de ses reins arrondis et la richesse de son buste où la jeunesse en fleur étale ses plus parfaits trésors, et, sous les plis soyeux de sa tunique, elle semble avoir été modelée en argent pur de la main divine de Vicvacarma, l'éternel statuaire.»
750	XIV	Mais, sans toute cette amplification, il suffit de dire que Mrs.
750	XIV	Aouda, la veuve du rajah du Bundelkund, était une charmante femme dans toute l'acception européenne du mot.
750	XIV	Elle parlait l'anglais avec une grande pureté, et le guide n'avait point exagéré en affirmant que cette jeune Parsie avait été transformée par l'éducation.
751	XIV	Cependant le train allait quitter la station d'Allahabad.
751	XIV	Le Parsi attendait.
751	XIV	Mr.
751	XIV	Fogg lui régla son salaire au prix convenu, sans le dépasser d'un farthing.
751	XIV	Ceci étonna un peu Passepartout, qui savait tout ce que son maître devait au dévouement du guide.
751	XIV	Le Parsi avait, en effet, risqué volontairement sa vie dans l'affaire de Pillaji, et si, plus tard, les Indous l'apprenaient, il échapperait difficilement à leur vengeance.
752	XIV	Restait aussi la question de Kiouni.
752	XIV	Que ferait-on d'un éléphant acheté si cher?
753	XIV	Mais Phileas Fogg avait déjà pris une résolution à cet égard.
754	XIV	«Parsi, dit-il au guide, tu as été serviable et dévoué.
754	XIV	J'ai payé ton service, mais non ton dévouement.
754	XIV	Veux-tu cet éléphant?
754	XIV	Il est à toi.»
755	XIV	Les yeux du guide brillèrent.
756	XIV	«C'est une fortune que Votre Honneur me donne!
756	XIV	s'écria-t-il.
757	XIV	--Accepte, guide, répondit Mr.
757	XIV	Fogg, et c'est moi qui serai encore ton débiteur.
758	XIV	--À la bonne heure!
758	XIV	s'écria Passepartout.
758	XIV	Prends, ami!
758	XIV	Kiouni est un brave et courageux animal!»
759	XIV	Et, allant à la bête, il lui présenta quelques morceaux de sucre, disant:
760	XIV	«Tiens, Kiouni, tiens, tiens!»
761	XIV	L'éléphant fit entendre quelques grognements de satisfaction.
761	XIV	Puis, prenant Passepartout par la ceinture et l'enroulant de sa trompe, il l'enleva jusqu'à la hauteur de sa tête.
